legacy_symbol	root_object	bucket	member	accessor	owner_source	notes
AutovacMemCxt	PgBackend	autovacuum	autovac_mem_cxt	PgCurrentAutovacuumState	src/backend/postmaster/autovacuum.c	backend-owned autovacuum launcher/worker memory context allocated through PgRuntimeGetOwnedMemoryContextWithSizes and deleted on closed-backend reset
DatabasePath	PgSession	database	database_path	PgCurrentDatabasePathRef	src/backend/utils/init/backend_runtime_session.c	current database path string allocated in DatabasePathContext
DatabasePathContext	PgSession	database	database_path_context	PgCurrentDatabasePathContextRef	src/backend/utils/init/backend_runtime_session.c	session-owned context for the current database path string
SystemUser	PgSession	user_identity	system_user	PgCurrentUserIdentityState	src/backend/utils/init/backend_runtime_session.c	system_user string allocated in SystemUserContext
SystemUserContext	PgSession	user_identity	system_user_context	PgCurrentSystemUserContextRef	src/backend/utils/init/backend_runtime_session.c	session-owned context for the system_user string
EncodingCacheContext	PgSession	encoding	encoding_cache_context	PgCurrentEncodingCacheMemoryContext	src/backend/utils/mb/backend_runtime_mb.c	session-owned parent context for encoding conversion cache entries
ConvProcList	PgSession	encoding	conv_proc_list	PgCurrentEncodingConvProcListRef	src/backend/utils/mb/backend_runtime_mb.c	encoding conversion cache list cells owned by EncodingCacheContext
ToServerConvProc	PgSession	encoding	to_server_conv_proc	PgCurrentToServerConvProcRef	src/backend/utils/mb/backend_runtime_mb.c	active client-to-server conversion function pointer into ConvProcList cache entries
ToClientConvProc	PgSession	encoding	to_client_conv_proc	PgCurrentToClientConvProcRef	src/backend/utils/mb/backend_runtime_mb.c	active server-to-client conversion function pointer into ConvProcList cache entries
Utf8ToServerConvProc	PgSession	encoding	utf8_to_server_conv_proc	PgCurrentUtf8ToServerConvProcRef	src/backend/utils/mb/backend_runtime_mb.c	UTF8-to-server conversion function pointer owned by EncodingCacheContext
FunctionManagerMemoryContext	PgSession	function_manager	function_manager_context	PgCurrentFunctionManagerMemoryContextRef	src/backend/utils/cache/backend_runtime_cache.c	session function-manager memory context; owns fmgr and funccache hash storage, copied funccache tuple descriptors, and cached-function wrapper structs
PgCurrentCFuncHash	PgSession	function_manager	c_func_hash	PgCurrentCFuncHashRef	src/backend/utils/cache/backend_runtime_cache.c	fmgr C-function hash root; hash storage lives in FunctionManagerMemoryContext and entries point to fmgr/dynamic-loader metadata without owning dynamic-library handles
cfunc_hashtable	PgSession	function_manager	cached_function_hash	PgCurrentCachedFunctionHashRef	src/backend/utils/cache/backend_runtime_cache.c	funccache cached-function hash root; hash storage and copied tuple descriptors live in FunctionManagerMemoryContext, while destruction is handwritten in funccache.c because entries can own language callback state
CacheMemoryContext	PgSession	catalog_lookup	cache_memory_context	PgCacheMemoryContextRef	src/backend/utils/cache/backend_runtime_cache.c	session cache memory context pointer; closed-session reset deletes the context after dependent cache roots and text-search cache entries have been handled, switching to TopMemoryContext first if the deleted context is current; full carrier TopMemoryContext reclamation is a separate Gate E2 blocker
SearchPathContext	PgSession	namespace_state	search_path_context	PgCurrentNamespaceState	src/backend/catalog/namespace.c	session-owned namespace search-path context created through PgRuntimeGetOwnedMemoryContextWithSizes() and deleted by PgSessionResetNamespaceClosedState()
baseSearchPath	PgSession	namespace_state	search_path_context	PgCurrentNamespaceState	src/backend/catalog/namespace.c	derived namespace search-path list cells allocated in the session-owned namespace path context; activeSearchPath points at the same list
SearchPathCacheContext	PgSession	namespace_state	search_path_cache_context	PgCurrentNamespaceState	src/backend/catalog/namespace.c	session-owned namespace search-path cache context created through PgRuntimeGetOwnedMemoryContextWithSizes(), reset while active, and deleted by PgSessionResetNamespaceClosedState()
localized_abbrev_days	PgSession	locale	localized_abbrev_days_values	PgCurrentLocaleState	src/backend/utils/adt/pg_locale.c	localized day-name cache strings allocated in locale_time_context
localized_full_days	PgSession	locale	localized_full_days_values	PgCurrentLocaleState	src/backend/utils/adt/pg_locale.c	localized day-name cache strings allocated in locale_time_context
localized_abbrev_months	PgSession	locale	localized_abbrev_months_values	PgCurrentLocaleState	src/backend/utils/adt/pg_locale.c	localized month-name cache strings allocated in locale_time_context
localized_full_months	PgSession	locale	localized_full_months_values	PgCurrentLocaleState	src/backend/utils/adt/pg_locale.c	localized month-name cache strings allocated in locale_time_context
CurrentLocaleTimeContext	PgSession	locale	locale_time_context	PgCurrentLocaleState	src/backend/utils/adt/pg_locale.c	session-owned localized-time string cache memory context deleted on closed-session reset
CurrentLocaleConv	PgSession	locale	current_locale_conv	PgCurrentLocaleState	src/backend/utils/adt/pg_locale.c	per-session localeconv cache object allocated in locale_conv_context
CurrentLocaleConvContext	PgSession	locale	locale_conv_context	PgCurrentLocaleState	src/backend/utils/adt/pg_locale.c	session-owned localeconv cache memory context deleted on closed-session reset after malloc strings are freed
MyClientConnectionInfo.authn_id	PgConnection	client_connection_info	authn_id	PgCurrentClientConnectionInfoRef	src/backend/libpq/backend_runtime_connection.c	authenticated-client authn_id pointer; restored strings are allocated in ClientConnectionInfoContext while normal authentication strings remain PortContext-owned
ClientConnectionInfoContext	PgConnection	client_connection_info_context	client_connection_info_context	PgCurrentClientConnectionInfoContextRef	src/backend/libpq/backend_runtime_connection.c	connection-owned context for restored authenticated-client info strings
PqSendBuffer	PgConnection	socket_io	send_buffer	PgCurrentConnectionSocketIORef	src/backend/libpq/backend_runtime_connection.c	frontend/backend socket send buffer allocated in SocketIOContext
SocketIOContext	PgConnection	socket_io	socket_io_context	PgCurrentConnectionSocketIOContextRef	src/backend/libpq/backend_runtime_connection.c	connection-owned context for socket send buffer storage
cookies	PgExecution	transaction_cleanup	lo_cookies	PgCurrentLargeObjectCookiesRef	src/backend/storage/large_object/backend_runtime_large_object.c	large-object descriptor array allocated in LargeObjectContext and released by large-object transaction cleanup or closed-execution reset
cookies_size	PgExecution	transaction_cleanup	lo_cookies_size	PgCurrentLargeObjectCookiesSizeRef	src/backend/storage/large_object/backend_runtime_large_object.c	large-object descriptor array capacity paired with cookies
lo_cleanup_needed	PgExecution	transaction_cleanup	lo_cleanup_needed	PgCurrentLargeObjectCleanupNeededRef	src/backend/storage/large_object/backend_runtime_large_object.c	transaction cleanup flag for open large-object descriptors
fscxt	PgExecution	transaction_cleanup	lo_context	PgCurrentLargeObjectContextRef	src/backend/storage/large_object/backend_runtime_large_object.c	execution-owned large-object descriptor memory context allocated through PgRuntimeGetOwnedMemoryContext
have_xact_temporary_files	PgExecution	transaction_cleanup	have_xact_temporary_files	PgCurrentHaveXactTemporaryFilesRef	src/backend/storage/file/backend_runtime_file.c	transaction cleanup flag for backend-local temporary files
pgStatXactStack	PgExecution	transaction_cleanup	pgstat_xact_stack	PgCurrentPgStatXactStackRef	src/backend/utils/activity/backend_runtime_pgstat.c	pgstat subtransaction stack root borrowed from transaction memory context cleanup
ri_fastpath_cache	PgExecution	transaction_cleanup	ri_fastpath_cache	PgCurrentRIFastPathCacheRef	src/backend/utils/adt/backend_runtime_ri.c	RI fast-path cache hash owned by active transaction cleanup callbacks
ri_fastpath_callback_registered	PgExecution	transaction_cleanup	ri_fastpath_callback_registered	PgCurrentRIFastPathCallbackRegisteredRef	src/backend/utils/adt/backend_runtime_ri.c	RI fast-path transaction callback registration flag paired with the cache
old_valgrind_error_count	PgExecution	valgrind	old_error_count	PgCurrentValgrindOldErrorCountRef	src/backend/tcop/backend_runtime_tcop.c	Valgrind error-count baseline used by the top-level command loop when reporting query execution errors
SysCache	PgSession	catalog_lookup	sys_cache	PgCurrentSysCacheArray	src/backend/utils/cache/backend_runtime_cache.c	syscache root array; pointed cache entries remain CacheMemoryContext-owned
SysCacheInitialized	PgSession	catalog_lookup	sys_cache_initialized	PgCurrentSysCacheInitializedRef	src/backend/utils/cache/backend_runtime_cache.c	syscache initialization flag
SysCacheRelationOid	PgSession	catalog_lookup	sys_cache_relation_oid	PgCurrentSysCacheRelationOidArray	src/backend/utils/cache/backend_runtime_cache.c	inline syscache relation OID array
SysCacheRelationOidSize	PgSession	catalog_lookup	sys_cache_relation_oid_size	PgCurrentSysCacheRelationOidSizeRef	src/backend/utils/cache/backend_runtime_cache.c	inline syscache relation OID count
SysCacheSupportingRelOid	PgSession	catalog_lookup	sys_cache_supporting_rel_oid	PgCurrentSysCacheSupportingRelOidArray	src/backend/utils/cache/backend_runtime_cache.c	inline syscache supporting relation OID array
SysCacheSupportingRelOidSize	PgSession	catalog_lookup	sys_cache_supporting_rel_oid_size	PgCurrentSysCacheSupportingRelOidSizeRef	src/backend/utils/cache/backend_runtime_cache.c	inline syscache supporting relation OID count
CacheHdr	PgSession	catalog_lookup	cat_cache_header	PgCurrentCatCacheHeaderRef	src/backend/utils/cache/backend_runtime_cache.c	catcache root header; entries remain CacheMemoryContext-owned
RelationIdCache	PgSession	catalog_lookup	relcache_relation_id_cache	PgCurrentRelationIdCacheRef	src/backend/utils/cache/backend_runtime_cache.c	relcache relation-id hash root; private dynahash storage is CacheMemoryContext-owned
criticalRelcachesBuilt	PgSession	catalog_lookup	relcache_critical_built	PgCurrentCriticalRelcachesBuiltRef	src/backend/utils/cache/backend_runtime_cache.c	relcache.h preserves historical macro name
criticalSharedRelcachesBuilt	PgSession	catalog_lookup	relcache_critical_shared_built	PgCurrentCriticalSharedRelcachesBuiltRef	src/backend/utils/cache/backend_runtime_cache.c	relcache.h preserves historical macro name
relcacheInvalsReceived	PgSession	catalog_lookup	relcache_invals_received	PgCurrentRelcacheInvalsReceivedRef	src/backend/utils/cache/backend_runtime_cache.c	relcache invalidation counter
pgclassdesc	PgSession	catalog_lookup	relcache_pg_class_descriptor	PgCurrentPgClassDescriptorRef	src/backend/utils/cache/backend_runtime_cache.c	hardcoded pg_class tuple descriptor used during early relcache rebuild; allocated in CacheMemoryContext
pgindexdesc	PgSession	catalog_lookup	relcache_pg_index_descriptor	PgCurrentPgIndexDescriptorRef	src/backend/utils/cache/backend_runtime_cache.c	hardcoded pg_index tuple descriptor used during early relcache rebuild; allocated in CacheMemoryContext
OpClassCache	PgSession	catalog_lookup	relcache_opclass_cache	PgCurrentOpClassCacheRef	src/backend/utils/cache/backend_runtime_cache.c	opclass cache hash root; private dynahash storage is CacheMemoryContext-owned
TypeCacheHash	PgSession	catalog_lookup	typcache_type_cache_hash	PgCurrentTypeCacheHashRef	src/backend/utils/cache/backend_runtime_cache.c	typcache hash root; private dynahash storage and entries are CacheMemoryContext-owned
RelIdToTypeIdCacheHash	PgSession	catalog_lookup	typcache_relid_to_typeid_hash	PgCurrentRelIdToTypeIdCacheHashRef	src/backend/utils/cache/backend_runtime_cache.c	typcache relid-to-typeid map root; private dynahash storage is CacheMemoryContext-owned
firstDomainTypeEntry	PgSession	catalog_lookup	typcache_first_domain_type_entry	PgCurrentFirstDomainTypeEntryRef	src/backend/utils/cache/backend_runtime_cache.c	domain typcache linked-list head
in_progress_list	PgSession	catalog_lookup	typcache_in_progress_list	PgCurrentTypCacheInProgressListRef	src/backend/utils/cache/backend_runtime_cache.c	typcache in-progress OID stack pointer
in_progress_list_len	PgSession	catalog_lookup	typcache_in_progress_list_len	PgCurrentTypCacheInProgressListLenRef	src/backend/utils/cache/backend_runtime_cache.c	typcache in-progress OID stack length
in_progress_list_maxlen	PgSession	catalog_lookup	typcache_in_progress_list_maxlen	PgCurrentTypCacheInProgressListMaxLenRef	src/backend/utils/cache/backend_runtime_cache.c	typcache in-progress OID stack capacity
RecordCacheHash	PgSession	catalog_lookup	typcache_record_cache_hash	PgCurrentRecordCacheHashRef	src/backend/utils/cache/backend_runtime_cache.c	record cache hash root; private dynahash storage is CacheMemoryContext-owned
RecordCacheArray	PgSession	catalog_lookup	typcache_record_cache_array	PgCurrentRecordCacheArrayRef	src/backend/utils/cache/backend_runtime_cache.c	record typmod array pointer
RecordCacheArrayLen	PgSession	catalog_lookup	typcache_record_cache_array_len	PgCurrentRecordCacheArrayLenRef	src/backend/utils/cache/backend_runtime_cache.c	record typmod array capacity
NextRecordTypmod	PgSession	catalog_lookup	typcache_next_record_typmod	PgCurrentNextRecordTypmodRef	src/backend/utils/cache/backend_runtime_cache.c	record typmod allocation counter
tupledesc_id_counter	PgSession	catalog_lookup	typcache_tupledesc_id_counter	PgCurrentTupleDescIdCounterRef	src/backend/utils/cache/backend_runtime_cache.c	tupledesc identifier counter
AttoptCacheHash	PgSession	catalog_lookup	attopt_cache_hash	PgCurrentAttoptCacheHashRef	src/backend/utils/cache/backend_runtime_cache.c	attribute-options cache root
RelfilenumberMapHash	PgSession	catalog_lookup	relfilenumber_map_hash	PgCurrentRelfilenumberMapHashRef	src/backend/utils/cache/backend_runtime_cache.c	relfilenumber map root
relfilenumber_skey	PgSession	catalog_lookup	relfilenumber_skey	PgCurrentRelfilenumberScanKeyArray	src/backend/utils/cache/backend_runtime_cache.c	inline relfilenumber scan keys
TableSpaceCacheHash	PgSession	catalog_lookup	tablespace_cache_hash	PgCurrentTableSpaceCacheHashRef	src/backend/utils/cache/backend_runtime_cache.c	tablespace options cache root
EventTriggerCache	PgSession	catalog_lookup	event_trigger_cache	PgCurrentEventTriggerCacheRef	src/backend/utils/cache/backend_runtime_cache.c	event trigger cache root
EventTriggerCacheContext	PgSession	catalog_lookup	event_trigger_cache_context	PgCurrentEventTriggerCacheContextRef	src/backend/utils/cache/backend_runtime_cache.c	event trigger cache memory context
EventTriggerCacheState	PgSession	catalog_lookup	event_trigger_cache_state	PgCurrentEventTriggerCacheStateRef	src/backend/utils/cache/backend_runtime_cache.c	event trigger cache state flag
ruleutils_rule_by_oid_plan	PgSession	catalog_lookup	ruleutils_rule_by_oid_plan	PgCurrentRuleutilsRuleByOidPlanRef	src/backend/utils/cache/backend_runtime_cache.c	retained ruleutils SPI plan
ruleutils_view_rule_plan	PgSession	catalog_lookup	ruleutils_view_rule_plan	PgCurrentRuleutilsViewRulePlanRef	src/backend/utils/cache/backend_runtime_cache.c	retained ruleutils SPI plan
TopMemoryContext	PgExecution	memory_contexts	top_context	PgTopMemoryContextRef	src/backend/utils/mmgr/backend_runtime_memory.c	standard top memory context pointer; physical tree reclamation remains Gate E2 work
ResourceOwnerContext	PgExecution	resource_owners	resource_owner_context	PgCurrentResourceOwnerMemoryContext	src/include/utils/backend_runtime.h	execution-owned allocation context for ResourceOwner objects and expandable hash arrays
currentEventTriggerState	PgExecution	replication_scratch	event_trigger_query_state	PgCurrentEventTriggerQueryStateRef	src/backend/commands/backend_runtime_event_trigger.c	active event-trigger complete-query state stack root
EventTriggerQueryContext	PgExecution	replication_scratch	event_trigger_context	PgCurrentEventTriggerMemoryContext	src/backend/commands/backend_runtime_event_trigger.c	execution-owned parent context for event-trigger complete-query state contexts
replorigin_xact_state	PgExecution	replication_scratch	replorigin_xact	PgCurrentReplOriginXactStateRef	src/backend/replication/logical/backend_runtime_logical.c	replication-origin transaction state copied as scalar origin/LSN/timestamp state
apply_error_context_stack	PgExecution	replication_scratch	apply_error_context_stack	PgCurrentApplyErrorContextStackRef	src/backend/replication/logical/backend_runtime_logical.c	logical apply error callback stack root borrowed from active apply/error callback lifetime
ApplyMessageContext	PgExecution	replication_scratch	apply_message_context	PgCurrentApplyMessageContextRef	src/backend/replication/logical/backend_runtime_logical.c	execution-owned logical apply message context deleted on closed-execution reset
LogicalStreamingContext	PgExecution	replication_scratch	logical_streaming_context	PgCurrentLogicalStreamingContextRef	src/backend/replication/logical/backend_runtime_logical.c	execution-owned logical streaming context deleted on closed-execution reset
SavedResourceOwnerDuringExport	PgExecution	snapbuild	saved_resource_owner_during_export	PgCurrentSnapBuildSavedResourceOwnerDuringExportRef	src/backend/replication/logical/backend_runtime_logical.c	snapbuild export resource-owner slot cleared after snapbuild cleanup or closed-execution reset
ExportInProgress	PgExecution	snapbuild	export_in_progress	PgCurrentSnapBuildExportInProgressRef	src/backend/replication/logical/backend_runtime_logical.c	snapbuild export-in-progress flag cleared by snapbuild cleanup or closed-execution reset
localChannelTable	PgSession	async	local_channel_table	PgCurrentAsyncLocalChannelTableRef	src/backend/commands/backend_runtime_async.c	session-owned LISTEN/NOTIFY local channel hash destroyed on closed-session reset after async proc-exit cleanup
amRegisteredListener	PgSession	async	registered_listener	PgCurrentAsyncRegisteredListenerRef	src/backend/commands/backend_runtime_async.c	session LISTEN/NOTIFY registration flag cleared on closed-session reset after async proc-exit cleanup
debug_query_string	PgExecution	debug	debug_query_string	PgCurrentDebugQueryStringRef	src/backend/tcop/backend_runtime_tcop.c	borrowed current command text pointer cleared by command/error paths and closed-execution reset
prng_state	PgSession	random	prng_state	PgCurrentPseudoRandomStateRef	src/backend/utils/adt/backend_runtime_pseudorandom.c	session-owned SQL random-function PRNG state initialized on first use or session adoption
prng_seed_set	PgSession	random	prng_seed_set	PgCurrentPseudoRandomSeedSetRef	src/backend/utils/adt/backend_runtime_pseudorandom.c	session-owned SQL random-function setseed flag initialized on first use or session adoption
PlannerExtensionNameArray	PgSession	optimizer	planner_extension_names	PgCurrentPlannerExtensionNameArrayRef	src/backend/optimizer/util/backend_runtime_optimizer.c	session-owned planner extension name array freed on closed-session reset
PlannerExtensionNamesAssigned	PgSession	optimizer	planner_extension_names_assigned	PgCurrentPlannerExtensionNamesAssignedRef	src/backend/optimizer/util/backend_runtime_optimizer.c	session-owned planner extension name count reset on closed-session reset
PlannerExtensionNamesAllocated	PgSession	optimizer	planner_extension_names_allocated	PgCurrentPlannerExtensionNamesAllocatedRef	src/backend/optimizer/util/backend_runtime_optimizer.c	session-owned planner extension name allocation count reset on closed-session reset
OprProofCacheHash	PgSession	optimizer	opr_proof_cache_hash	PgCurrentOprProofCacheHashRef	src/backend/optimizer/util/backend_runtime_optimizer.c	session-owned operator proof hash destroyed on closed-session reset
PendingActions	PgExecution	async	pending_actions	PgCurrentPendingActionsRef	src/backend/commands/backend_runtime_async.c	borrowed async action list cleaned up by transaction abort/commit paths
PendingListenActions	PgExecution	async	pending_listen_actions	PgCurrentPendingListenActionsRef	src/backend/commands/backend_runtime_async.c	borrowed async listen action hash cleaned up by transaction abort/commit paths
PendingNotifies	PgExecution	async	pending_notifies	PgCurrentPendingNotifiesRef	src/backend/commands/backend_runtime_async.c	borrowed notification list cleaned up by transaction abort/commit paths
QueueHeadBeforeWrite	PgExecution	async	queue_head_before_write	PgCurrentQueueHeadBeforeWriteRef	src/backend/commands/backend_runtime_async.c	copied async queue position state for transaction notification commit
QueueHeadAfterWrite	PgExecution	async	queue_head_after_write	PgCurrentQueueHeadAfterWriteRef	src/backend/commands/backend_runtime_async.c	copied async queue position state for transaction notification commit
SignalBackendsContext	PgExecution	async	signal_context	PgCurrentAsyncSignalWorkspaceContext	src/backend/commands/backend_runtime_async.c	execution-owned workspace context for LISTEN/NOTIFY SignalBackends arrays
SignalPids	PgExecution	async	signal_pids	PgCurrentSignalPidsRef	src/backend/commands/backend_runtime_async.c	array allocated in SignalBackendsContext and reset with PgExecution.async.signal_context
SignalProcnos	PgExecution	async	signal_procnos	PgCurrentSignalProcnosRef	src/backend/commands/backend_runtime_async.c	array allocated in SignalBackendsContext and reset with PgExecution.async.signal_context
TryAdvanceTail	PgExecution	async	try_advance_tail	PgCurrentTryAdvanceTailRef	src/backend/commands/backend_runtime_async.c	async queue tail advancement flag reset with execution async state
records	PgExecution	two_phase_records	head	PgCurrentTwoPhaseRecordStateRef	src/backend/access/transam/backend_runtime_xact.c	two-phase state-file record chain root, with tail and chunk count in the same execution bucket
MyTriggerDepth	PgExecution	trigger	depth	PgCurrentTriggerDepthRef	src/backend/commands/backend_runtime_trigger.c	trigger nesting depth for the current execution
afterTriggers	PgExecution	trigger	after_triggers_data	PgCurrentAfterTriggersDataRef	src/backend/commands/backend_runtime_trigger.c	opaque after-trigger transaction/query state object
AfterTriggersContext	PgExecution	trigger	after_triggers_context	PgCurrentAfterTriggersMemoryContext	src/backend/commands/backend_runtime_trigger.c	execution-owned parent context for the opaque after-trigger state object
MessageContext	PgExecution	memory_contexts	message_context	PgMessageContextRef	src/backend/utils/mmgr/backend_runtime_memory.c	execution-owned protocol-loop scratch context allocated in PostgresMain() and reset each command-message iteration
ActivePortal	PgExecution	portal	active	PgCurrentActivePortalRef	src/backend/utils/mmgr/backend_runtime_portal.c	borrowed active portal pointer cleared by execution closed-state reset after portal cleanup owns active portal state
TopPortalContext	PgSession	portal_manager	top_portal_context	PgCurrentTopPortalContextRef	src/backend/utils/mmgr/backend_runtime_portal.c	session-owned parent context for portal structs, portal contexts, hold contexts, and portal hash storage
PortalHashTable	PgSession	portal_manager	portal_hash_table	PgCurrentPortalHashTableRef	src/backend/utils/mmgr/backend_runtime_portal.c	session-owned named-portal hash table allocated under TopPortalContext and destroyed with the portal manager
row_description_context	PgSession	tcop	row_description_context	PgCurrentRowDescriptionContextRef	src/backend/tcop/backend_runtime_tcop.c	session-owned reusable RowDescription context allocated in PostgresMain() and deleted on closed-session reset
row_description_buf	PgSession	tcop	row_description_buf	PgCurrentRowDescriptionBufRef	src/backend/tcop/backend_runtime_tcop.c	StringInfoData storage initialized under row_description_context and reused for RowDescription/ParameterDescription messages
MyProcPort	PgConnection	identity	port	PgCurrentProcPortRef	src/backend/libpq/backend_runtime_connection.c	frontend/backend Port pointer allocated in PortContext by pq_init() or borrowed in preserved-port runtime initialization
PortContext	PgConnection	identity	port_context	PgCurrentPortContextRef	src/backend/libpq/backend_runtime_connection.c	connection-owned context for the frontend/backend Port payload and startup strings allocated from it
CurrentSession	PgSession	legacy_session	legacy_session	PgCurrentLegacySessionRef	src/backend/access/common/session.c	legacy access/session.h compatibility pointer; InitializeSession() obtains the payload through PgCurrentLegacySession(), including the process-session fallback
LegacySessionContext	PgSession	legacy_session_context	legacy_session_context	PgSessionGetLegacySession	src/backend/utils/init/backend_runtime_session.c	session-owned compatibility context for the legacy access/session.h payload
DynamicLibraryContext	PgSession	dynamic_library_context	dynamic_library_context	PgSessionGetDynamicLibraryMemoryContext	src/backend/utils/init/backend_runtime_session.c	session-owned context for per-session dynamic-library replay metadata
DynamicLibraryInits	PgSession	dynamic_library_inits	dynamic_library_inits	PgCurrentSessionDynamicLibraryInitsRef	src/backend/utils/init/backend_runtime_session.c	session-owned list of runtime-loaded modules whose _PG_init has run in this logical session
ConnectionWarningsEmitted	PgConnection	startup	connection_warnings_emitted	PgCurrentConnectionWarningsEmittedRef	src/backend/utils/init/postinit.c	connection warning emit guard
ConnectionWarningMessages	PgConnection	startup	connection_warning_messages	PgCurrentConnectionWarningMessagesRef	src/backend/utils/init/postinit.c	saved connection warning messages
ConnectionWarningDetails	PgConnection	startup	connection_warning_details	PgCurrentConnectionWarningDetailsRef	src/backend/utils/init/postinit.c	saved connection warning details
pgwin32_noblock	PgConnection	socket_io	win32_noblock	PgCurrentPgwin32NoBlockRef	src/backend/port/win32/socket.c	Win32 socket emulated nonblocking flag; Windows build validation still required
ri_fastpath_xact_callback_registered	PgSession	ri_globals	fastpath_xact_callback_registered	PgCurrentRIFastPathXactCallbackRegisteredRef	src/backend/utils/adt/backend_runtime_ri.c	RI fast-path xact callback registration guard
XactCallbackContext	PgSession	xact_callbacks	xact_callback_context	PgCurrentXactCallbackMemoryContext	src/include/utils/backend_runtime.h	session-owned allocation context for transaction and subtransaction callback list nodes
InjectionPointCache	PgBackend	utility	injection_point_cache	PgCurrentInjectionPointCacheRef	src/backend/utils/misc/backend_runtime_utility.c	backend-owned local injection-point callback cache
UtilityCacheContext	PgBackend	utility	utility_cache_context	PgCurrentUtilityCacheMemoryContext	src/backend/utils/misc/backend_runtime_utility.c	backend-owned parent allocation context for utility hash-table caches
MissingAttrCache	PgBackend	utility	missing_attr_cache	PgCurrentMissingAttrCacheRef	src/backend/utils/misc/backend_runtime_utility.c	backend-owned missing-attribute value cache
DCHCache	PgBackend	utility	dch_cache	PgCurrentDCHCache	src/backend/utils/misc/backend_runtime_utility.c	backend-owned date/time formatting cache entry array
n_DCHCache	PgBackend	utility	n_dch_cache	PgCurrentNumDCHCacheRef	src/backend/utils/misc/backend_runtime_utility.c	backend-owned date/time formatting cache entry count
DCHCounter	PgBackend	utility	dch_counter	PgCurrentDCHCounterRef	src/backend/utils/misc/backend_runtime_utility.c	backend-owned date/time formatting cache aging counter
NUMCache	PgBackend	utility	num_cache	PgCurrentNUMCache	src/backend/utils/misc/backend_runtime_utility.c	backend-owned numeric formatting cache entry array
n_NUMCache	PgBackend	utility	n_num_cache	PgCurrentNumNUMCacheRef	src/backend/utils/misc/backend_runtime_utility.c	backend-owned numeric formatting cache entry count
NUMCounter	PgBackend	utility	num_counter	PgCurrentNUMCounterRef	src/backend/utils/misc/backend_runtime_utility.c	backend-owned numeric formatting cache aging counter
FormatCacheContext	PgBackend	utility	format_cache_context	PgCurrentFormatCacheMemoryContext	src/backend/utils/misc/backend_runtime_utility.c	backend-owned allocation context for DCH and NUM formatting cache entries
archive_context	PgBackend	maintenance_worker	archive_context	PgCurrentMaintenanceWorkerState	src/backend/postmaster/pgarch.c	backend-owned archiver work context allocated through PgRuntimeGetOwnedMemoryContextWithSizes and deleted on closed-backend reset
bgwriter_context	PgBackend	maintenance_worker	bgwriter_context	PgCurrentMaintenanceWorkerState	src/backend/postmaster/bgwriter.c	backend-owned background writer work context allocated through PgRuntimeGetOwnedMemoryContextWithSizes and deleted on closed-backend reset
walwriter_context	PgBackend	maintenance_worker	walwriter_context	PgCurrentMaintenanceWorkerState	src/backend/postmaster/walwriter.c	backend-owned WAL writer work context allocated through PgRuntimeGetOwnedMemoryContextWithSizes and deleted on closed-backend reset
checkpointer_context	PgBackend	maintenance_worker	checkpointer_context	PgCurrentMaintenanceWorkerState	src/backend/postmaster/checkpointer.c	backend-owned checkpointer work context allocated through PgRuntimeGetOwnedMemoryContextWithSizes and deleted on closed-backend reset
walsummarizer_context	PgBackend	maintenance_worker	walsummarizer_context	PgCurrentMaintenanceWorkerState	src/backend/postmaster/walsummarizer.c	backend-owned WAL summarizer work context allocated through PgRuntimeGetOwnedMemoryContextWithSizes and deleted on closed-backend reset
CurrentBackendThreadStart	PgCarrier	backend_thread_start	backend_thread_start	PgCurrentBackendThreadStartRef	src/backend/utils/init/backend_runtime.c	opaque backend-thread launch record pointer used before full runtime install and during thread exit handoff
my_wait_event_info	PgBackend	wait_state	my_wait_event_info	PgCurrentMyWaitEventInfoRef	src/backend/storage/ipc/backend_runtime_ipc.c	backend-local wait-event pointer used by wait event reporting and reset to local_wait_event_info on backend adoption/reset
local_wait_event_info	PgBackend	wait_state	local_wait_event_info	PgCurrentLocalWaitEventInfoRef	src/backend/storage/ipc/backend_runtime_ipc.c	backend-local wait-event storage used when no external wait-event pointer is installed
waiting	PgCarrier	wait_event_waiting	wait_event_waiting	PgCurrentWaitEventWaitingRef	src/backend/storage/ipc/backend_runtime_ipc.c	carrier-local WaitLatch sleep flag observed by latch signal/wakeup code
signal_fd	PgCarrier	wait_event_signal_fd	wait_event_signal_fd	PgCurrentWaitEventSignalFdRef	src/backend/storage/ipc/backend_runtime_ipc.c	carrier-local signalfd descriptor with -1 sentinel
selfpipe_readfd	PgCarrier	wait_event_selfpipe_readfd	wait_event_selfpipe_readfd	PgCurrentWaitEventSelfPipeReadFdRef	src/backend/storage/ipc/backend_runtime_ipc.c	carrier-local self-pipe read descriptor with -1 sentinel
selfpipe_writefd	PgCarrier	wait_event_selfpipe_writefd	wait_event_selfpipe_writefd	PgCurrentWaitEventSelfPipeWriteFdRef	src/backend/storage/ipc/backend_runtime_ipc.c	carrier-local self-pipe write descriptor with -1 sentinel
selfpipe_owner_pid	PgCarrier	wait_event_selfpipe_owner_pid	wait_event_selfpipe_owner_pid	PgCurrentWaitEventSelfPipeOwnerPidRef	src/backend/storage/ipc/backend_runtime_ipc.c	carrier-local self-pipe owning pid guard
